W_2 Ep: 1195 | Ep_r: -334
W_1 Ep: 1196 | Ep_r: -340
W_0 Ep: 1197 | Ep_r: -332
W_5 Ep: 1198 | Ep_r: -364
W_6 Ep: 1199 | Ep_r: -340
W_7 Ep: 1200 | Ep_r: -359
W_3 Ep: 1200 | Ep_r: -336
W_4 Ep: 1202 | Ep_r: -357
W_2 Ep: 1203 | Ep_r: -349
W_1 Ep: 1204 | Ep_r: -355
W_0 Ep: 1205 | Ep_r: -333
W_5 Ep: 1206 | Ep_r: -326
W_6 Ep: 1207 | Ep_r: -320
W_2 Ep: 1208 | Ep_r: -339
W_3 Ep: 1208 | Ep_r: -345
W_7 Ep: 1210 | Ep_r: -311
W_4 Ep: 1211 | Ep_r: -346
W_1 Ep: 1212 | Ep_r: -312
W_0 Ep: 1213 W_5 | Ep_r: -320
Ep: 1213 | Ep_r: -301
W_6 Ep: 1215 | Ep_r: -310
W_2 Ep:W_7 Ep: 1216 | Ep_r: -292
 1216 | Ep_r: -324
W_3 Ep: 1218 | Ep_r: -276
W_4 Ep: 1219 | Ep_r: -275
W_1 Ep: 1220 | Ep_r: -286
W_0 Ep: 1221 | Ep_r: -324
W_5 Ep: 1221 | Ep_r: -331
W_6 Ep: 1223 | Ep_r: -350
W_2 Ep: 1224 | Ep_r: -377
W_3 Ep: 1225 | Ep_r: -378
W_7 Ep: 1226 | Ep_r: -367
W_4 Ep: 1227 | Ep_r: -387
W_1 Ep: 1228 | Ep_r: -348
W_5 Ep: 1229 | Ep_r: -340
W_0 Ep: 1230 | Ep_r: -306
W_6 Ep: 1231 | Ep_r: -317
W_3 Ep: 1232 | Ep_r: -348
W_2 Ep: 1233 | Ep_r: -326
W_7 Ep: 1234 | Ep_r: -321
W_1 Ep: 1235 | Ep_r: -289
W_4 Ep: 1236 | Ep_r: -303
W_5 Ep: 1237 | Ep_r: -286
W_0 Ep: 1238 | Ep_r: -270
W_3 Ep: 1239 | Ep_r: -285
W_2 W_6 Ep: 1240 Ep: 1240 | Ep_r: -337| Ep_r: -329

W_7 Ep: 1242 | Ep_r: -384
W_4 Ep: 1243 | Ep_r: -385
W_1 Ep: 1244 | Ep_r: -400
W_5 Ep: 1245 | Ep_r: -373
W_0 Ep: 1246 | Ep_r: -362
W_3 Ep: 1247 | Ep_r: -377
W_6W_2 Ep: Ep: 1248 | Ep_r: -366
 1248 | Ep_r: -342
W_7 Ep: 1250 | Ep_r: -322
W_4 Ep: 1251 | Ep_r: -316
W_1 Ep: 1252 | Ep_r: -311
W_5 Ep: 1253 | Ep_r: -293
W_0 Ep: 1254 | Ep_r: -290
W_3 Ep: 1255 | Ep_r: -303
W_6 Ep: 1256 | Ep_r: -285
W_2 Ep: 1257 | Ep_r: -297
W_7 Ep: 1258 | Ep_r: -268
W_4 Ep: 1259 | Ep_r: -267
W_1 Ep: 1260 | Ep_r: -282
W_5 Ep: 1261 | Ep_r: -308
W_0 Ep: 1262 | Ep_r: -290
W_6 Ep: 1263 | Ep_r: -354
W_3 Ep: 1264 | Ep_r: -331
W_2 Ep: 1265 | Ep_r: -311
W_7 Ep: 1266 | Ep_r: -366
W_4 Ep: 1267 | Ep_r: -355
W_1 Ep: 1268 | Ep_r: -405
W_5 Ep: 1269 | Ep_r: -446
W_0 Ep: 1270 | Ep_r: -456
W_6 Ep: 1271 | Ep_r: -463
W_3 Ep: 1272 W_7 | Ep_r: -417Ep: 1272 | Ep_r: -376

W_2 Ep: 1274 | Ep_r: -365
W_4 Ep: 1275 | Ep_r: -368
W_1 Ep: 1276 | Ep_r: -344
W_5 Ep: 1277 | Ep_r: -353
W_0 Ep: 1278 | Ep_r: -358
W_6 Ep: 1279 | Ep_r: -393
W_7 Ep: 1280 | Ep_r: -367
W_2 Ep: 1281 | Ep_r: -372
W_3 Ep: 1282 | Ep_r: -348
W_4 Ep: 1283 W_1 | Ep_r: -326
Ep: 1283 | Ep_r: -349
W_5 Ep: 1285 | Ep_r: -407
W_0 Ep: 1286 | Ep_r: -379
W_6 Ep: 1287 | Ep_r: -433
W_2W_7 Ep:  1288Ep: 1288 | Ep_r: -470 
| Ep_r: -436
W_3 Ep: 1290 | Ep_r: -406
W_4 Ep: 1291 | Ep_r: -469
W_1 Ep: 1292 | Ep_r: -435
W_5 Ep: 1293 | Ep_r: -432W_0 Ep: 1293 | Ep_r: -416

W_6 Ep: 1295 | Ep_r: -424
W_7 Ep: 1296 | Ep_r: -409
W_2 Ep: 1297 | Ep_r: -394
W_3 Ep: 1298 | Ep_r: -448
W_4 Ep: 1299 | Ep_r: -510
W_1 Ep: 1300 | Ep_r: -560
W_0W_5 Ep: 1301 | Ep_r: -568
 Ep: 1301 | Ep_r: -532
W_7 Ep: 1303 W_6| Ep_r: -525
 Ep: 1303 | Ep_r: -513
W_2 Ep: 1305 | Ep_r: -543
W_4 Ep: 1306W_3 Ep: 1306 | Ep_r: -553
 | Ep_r: -571
W_1 Ep: 1308 | Ep_r: -607
W_5 Ep: 1309 | Ep_r: -613
W_0 Ep: 1310 | Ep_r: -645
W_7 Ep: 1311 | Ep_r: -594
W_6 Ep: 1312 | Ep_r: -617
W_3 Ep: 1313 | Ep_r: -555
W_2W_4 Ep: Ep: 1314  | Ep_r: -621
1314 | Ep_r: -589
W_1 Ep: 1316 | Ep_r: -572
W_5 Ep: 1317 | Ep_r: -541
W_0 Ep: 1318 | Ep_r: -531
W_7 Ep: 1319 | Ep_r: -584
W_6 Ep: 1320 | Ep_r: -539
W_2 Ep: 1321 | Ep_r: -511
W_3 Ep: 1322 | Ep_r: -473
W_4 Ep: 1323 | Ep_r: -547
W_1 Ep: 1324 | Ep_r: -553
W_5 Ep: 1325 | Ep_r: -537
W_0 Ep: 1326 | Ep_r: -565
W_7 Ep: 1327 | Ep_r: -602W_6
 Ep: 1327 | Ep_r: -595
W_2 Ep: 1329 | Ep_r: -561
W_3 Ep: 1330 | Ep_r: -531
W_4 Ep: 1331 | Ep_r: -567
W_1 Ep: 1332 | Ep_r: -550
W_5 Ep: 1333 | Ep_r: -508
W_0 Ep: 1334 | Ep_r: -497
W_6 Ep: 1335 | Ep_r: -491
W_7 Ep: 1336 | Ep_r: -468
W_2 Ep: 1337 | Ep_r: -435
W_3 Ep: 1338 | Ep_r: -404
W_4 Ep: 1339 | Ep_r: -390
W_1 Ep: 1340 | Ep_r: -391
W_5 Ep: 1341 | Ep_r: -365
W_0 Ep: 1342 | Ep_r: -368
W_6 Ep: 1343 | Ep_r: -357
W_7 Ep: 1344 | Ep_r: -362
W_2 Ep: 1345 | Ep_r: -352
W_3 Ep: 1346 | Ep_r: -330
W_4 Ep: 1347 | Ep_r: -350
W_5 Ep: 1348 | Ep_r: -315
W_1 Ep: 1349 | Ep_r: -297
W_0 Ep: 1350 | Ep_r: -306
W_6 Ep: 1351 | Ep_r: -346
W_7 Ep: 1352 | Ep_r: -352
W_2 Ep: 1353 | Ep_r: -370
W_3 Ep: 1354 | Ep_r: -376
W_4 Ep: 1355 | Ep_r: -364
W_5 Ep: 1356 | Ep_r: -368
W_1 Ep: 1357 | Ep_r: -376
W_0 Ep: 1358 | Ep_r: -392
W_6 Ep: 1359 | Ep_r: -392W_7 Ep:
 1359 | Ep_r: -379
W_2 Ep: 1361 | Ep_r: -354
W_3 Ep: 1362 | Ep_r: -331
W_4 Ep: 1363 | Ep_r: -351
W_5 Ep: 1364 | Ep_r: -329
W_1 Ep: 1365 | Ep_r: -335
W_0 Ep: 1366 | Ep_r: -361
W_6 Ep: 1367 | Ep_r: -377
W_7 Ep: 1368 | Ep_r: -380
W_2 Ep: 1369 | Ep_r: -368
W_3 Ep: 1370 | Ep_r: -344
W_4 Ep: 1371 | Ep_r: -336
W_5 Ep: 1372 | Ep_r: -303
W_1 Ep: 1373 | Ep_r: -286
W_0 Ep: 1374 | Ep_r: -310
W_7 Ep: 1375 | Ep_r: -332
W_6 Ep: 1376 | Ep_r: -375
W_2 Ep: 1377 | Ep_r: -431
W_3 Ep: 1378 | Ep_r: -400
W_4W_5 Ep: 1379 | Ep_r: -429
 Ep: 1379 | Ep_r: -413
W_1 Ep: 1381 | Ep_r: -398
W_0 Ep: 1382 | Ep_r: -411
W_7 W_6 Ep: 1383 | Ep_r: -469
Ep: 1383 | Ep_r: -431
W_2 Ep: 1385 | Ep_r: -463
W_3 Ep: 1386 | Ep_r: -456
W_5W_4 Ep: 1387 W_1 Ep: 1387 | Ep_r: -435
| Ep_r: -435 Ep:
 1387 | Ep_r: -411
W_0 Ep: 1390 | Ep_r: -404
W_7 Ep: 1391 | Ep_r: -391
W_6 Ep: 1392 | Ep_r: -365
W_2 Ep: 1393 | Ep_r: -341
W_3 Ep: 1394 | Ep_r: -347
W_4 Ep: 1395 | Ep_r: -365
W_1 Ep: 1396 | Ep_r: -341
W_5 Ep: 1397 | Ep_r: -319
W_0 Ep: 1398 | Ep_r: -327
W_6 Ep: 1399 | Ep_r: -308
W_7 Ep: 1400 | Ep_r: -330
W_2 Ep: 1401 | Ep_r: -360
W_3 Ep: 1402 | Ep_r: -377
W_1 W_4 Ep:Ep:  1403 | Ep_r: -345
1403 | Ep_r: -352
W_5 Ep: 1405 | Ep_r: -337
W_0 Ep: 1406 | Ep_r: -329
W_6 Ep: 1407 | Ep_r: -372
W_7 Ep: 1408 | Ep_r: -361
W_2 Ep: 1409 | Ep_r: -378
W_1 Ep: 1410 | Ep_r: -366
W_3 Ep: 1411 | Ep_r: -379
W_5 Ep: 1412 | Ep_r: -383
W_4 Ep: 1413 | Ep_r: -428
W_0 Ep: 1414 | Ep_r: -439
W_6 Ep: 1415 | Ep_r: -461
W_7 Ep: 1416 | Ep_r: -428
W_2 Ep: 1417 | Ep_r: -431
W_3 Ep: 1418 | Ep_r: -455
W_1 Ep: 1419 | Ep_r: -487
W_4 W_5 Ep: 1420Ep: 1420 | Ep_r: -490
 | Ep_r: -441
W_0 Ep: 1422 | Ep_r: -424
W_6 Ep: 1423 | Ep_r: -422
W_7 Ep: 1424 | Ep_r: -433
W_2 Ep: 1425 | Ep_r: -415
W_3 Ep: 1426 | Ep_r: -414
W_1 Ep: 1427 | Ep_r: -412
W_5 Ep: 1428 | Ep_r: -424
W_4 Ep: 1429 | Ep_r: -434
W_0 Ep: 1430 | Ep_r: -447
W_6 Ep: 1431 | Ep_r: -429
W_2 Ep: 1432 | Ep_r: -426
W_7 Ep: 1433 | Ep_r: -397
W_3 Ep: 1434 | Ep_r: -357
W_5 Ep: 1435 | Ep_r: -348
W_1 Ep: 1436 | Ep_r: -355
W_4 Ep: 1437 | Ep_r: -400
W_0 Ep: 1438 | Ep_r: -360
W_6 Ep: 1439 | Ep_r: -337
W_2 Ep: 1440 | Ep_r: -317
W_7 Ep: 1441 | Ep_r: -298
W_5 Ep: 1442 | Ep_r: -294
W_3 Ep: 1443 | Ep_r: -278
W_1 Ep: 1444 | Ep_r: -263
W_4 Ep: 1445 | Ep_r: -250
W_0 Ep: 1446 | Ep_r: -238
W_6 Ep: 1447 | Ep_r: -227
W_2 Ep: 1448 | Ep_r: -218
W_7 Ep: 1449 | Ep_r: -249
W_1W_3 Ep:  Ep:1450 | Ep_r: -241
 1450 | Ep_r: -224
W_5 Ep: 1452 | Ep_r: -285
W_4 Ep: 1453 | Ep_r: -257
W_0 Ep: 1454 | Ep_r: -285
W_6 Ep: 1455 | Ep_r: -297
W_2 Ep: 1456 | Ep_r: -308
W_7 Ep: 1457 | Ep_r: -329
W_3 Ep: 1458W_1  Ep: | Ep_r: -364
1458 | Ep_r: -329
W_5 Ep: 1460 | Ep_r: -335
W_4 Ep: 1461 | Ep_r: -327
W_0 Ep: 1462 | Ep_r: -349
W_6 Ep: 1463 | Ep_r: -341
W_2 Ep: 1464 | Ep_r: -344
W_7 Ep: 1465 | Ep_r: -394
W_3 Ep: 1466 | Ep_r: -409
W_1 Ep: 1467 | Ep_r: -424
W_4 Ep: 1468 | Ep_r: -434
W_5 Ep: 1469 | Ep_r: -433
W_0 Ep: 1470 | Ep_r: -416
W_6 Ep: 1471 | Ep_r: -428
W_2 Ep: 1472 | Ep_r: -451
W_7 Ep: 1473 | Ep_r: -419
W_3 Ep: 1474 | Ep_r: -404
W_1 Ep: 1475 | Ep_r: -417
W_4 Ep: 1476 | Ep_r: -376
W_5 Ep: 1477 | Ep_r: -391
W_0 Ep: 1478 | Ep_r: -378
W_6 Ep: 1479 | Ep_r: -340
W_2 Ep: 1480 | Ep_r: -333
W_3 Ep: 1481 | Ep_r: -339
W_7 Ep: 1482 | Ep_r: -344
W_1 Ep: 1483 | Ep_r: -336
W_4 Ep: 1484 | Ep_r: -358
W_5 Ep: 1485 | Ep_r: -362
W_0 Ep: 1486 | Ep_r: -352
W_6 Ep: 1487 | Ep_r: -385
W_2 Ep: 1488 | Ep_r: -359
W_3 Ep: 1489 | Ep_r: -350
W_1 Ep: 1490 | Ep_r: -328
W_7 Ep: 1491 | Ep_r: -346
W_4 Ep: 1492 | Ep_r: -325
W_5 Ep: 1493 | Ep_r: -332
W_0 Ep: 1494 | Ep_r: -340
W_6 Ep: 1495 | Ep_r: -319
W_2 Ep: 1496 | Ep_r: -341
W_3 Ep: 1497 | Ep_r: -346
W_1 Ep: 1498 | Ep_r: -314
W_7 Ep: 1499 | Ep_r: -308
W_4 Ep: 1500 | Ep_r: -317
W_5 Ep: 1501 | Ep_r: -299
W_0 Ep: 1502 | Ep_r: -296
W_6 Ep: 1503 | Ep_r: -318
W_2 Ep: 1504 | Ep_r: -339
W_3 Ep: 1505 | Ep_r: -345
W_7 Ep: 1506 | Ep_r: -351W_1
 Ep: 1506 | Ep_r: -316
W_4 Ep: 1508 | Ep_r: -341
W_5 Ep: 1509 | Ep_r: -320
W_0 Ep: 1510 | Ep_r: -302
W_6 Ep: 1511 | Ep_r: -299
W_2 Ep: 1512 | Ep_r: -296
W_1 Ep: 1513 | Ep_r: -319
W_3 Ep: 1514 | Ep_r: -313
W_7 Ep: 1515 | Ep_r: -308
W_4 Ep: 1516 | Ep_r: -329
W_5 Ep: 1517 | Ep_r: -336
W_0 Ep: 1518 | Ep_r: -362
W_6 Ep: 1519 | Ep_r: -369
W_2 Ep: 1520 | Ep_r: -373
W_1 Ep: 1521 | Ep_r: -362
W_3 Ep: 1521 | Ep_r: -393
W_7 Ep: 1523 | Ep_r: -367
W_4 Ep: 1524 | Ep_r: -384
W_5 Ep: 1525 | Ep_r: -399
W_0 Ep: 1526 | Ep_r: -444
W_6 Ep: 1527 | Ep_r: -467
W_2 Ep: 1528 | Ep_r: -465
W_7 Ep: 1529 | Ep_r: -445
W_1 Ep: 1530 | Ep_r: -438
W_4 Ep: 1531 | Ep_r: -434
W_3 Ep: 1532 | Ep_r: -432
W_5 Ep: 1533 | Ep_r: -415
W_0 Ep: 1534 | Ep_r: -413
W_6 Ep: 1535 | Ep_r: -438
W_2 Ep: 1536 | Ep_r: -453
W_7 Ep: 1537 | Ep_r: -432
W_4 Ep: 1538 | Ep_r: -402
W_1 Ep: 1539 | Ep_r: -362
W_3 Ep: 1540 | Ep_r: -352
W_5 Ep: 1541 | Ep_r: -330
W_6 Ep: 1542 | Ep_r: -323
W_0 Ep: 1543 | Ep_r: -318
W_2 Ep: 1544 | Ep_r: -299
W_4 Ep: 1545 | Ep_r: -309
W_7 Ep: 1546 | Ep_r: -318
W_1 Ep: 1547 | Ep_r: -313
W_5 Ep: 1548 | Ep_r: -282
W_3 Ep: 1549 | Ep_r: -280
W_6 Ep: 1550 | Ep_r: -293
W_0 Ep: 1551 | Ep_r: -308
W_2 Ep: 1552 | Ep_r: -322
W_7 Ep: 1553 | Ep_r: -343
W_4 Ep: 1554 | Ep_r: -322
W_5 Ep: 1555 | Ep_r: -377
W_1 Ep: 1556 | Ep_r: -366
W_3 Ep: 1557 | Ep_r: -385
W_6 Ep: 1558 | Ep_r: -360
W_0 Ep: 1559 | Ep_r: -350
W_2 Ep: 1560 | Ep_r: -367
W_4 Ep: 1561 | Ep_r: -344
W_7 Ep: 1562 | Ep_r: -349
W_3 Ep: 1563 | Ep_r: -355
W_1 Ep: 1564 | Ep_r: -332
W_5 Ep: 1565 | Ep_r: -325
W_6 Ep: 1566 | Ep_r: -306
W_0 Ep: 1567 | Ep_r: -275
W_2 Ep: 1568 | Ep_r: -274
W_4 Ep: 1569 | Ep_r: -273
W_7 Ep: 1570 | Ep_r: -287
W_3 Ep: 1571 | Ep_r: -304
W_1 Ep: 1572 | Ep_r: -274
W_5 Ep: 1573 | Ep_r: -287
W_6 Ep: 1574 | Ep_r: -271
W_0 Ep: 1575 | Ep_r: -270
W_2 Ep: 1576 | Ep_r: -270
W_4 Ep: 1577 | Ep_r: -282
W_7W_3 Ep: 1578 | Ep_r: -295 Ep: 1578 | Ep_r: -267

W_1 Ep: 1580 | Ep_r: -292
W_5 Ep: 1581 | Ep_r: -276
W_6 Ep: 1582 | Ep_r: -316
W_0 Ep: 1583 | Ep_r: -325
W_2 Ep: 1584 | Ep_r: -306
W_4 Ep: 1585 | Ep_r: -329
W_7 Ep: 1586 | Ep_r: -323
W_3 Ep: 1587 | Ep_r: -291
W_1 Ep: 1588 | Ep_r: -275
W_5 Ep: 1589 | Ep_r: -259
W_6 Ep: 1590 | Ep_r: -246
